,,クモハ100,,クモハ101,,モハ100,,モハ101,,,
,,クハ100,,クハ101,,サハ100,,サハ101,,,
所属,,車番,新製年月日,製造所,配置区,,転属年月日,新区,廃車年月日,,
,,,改造年月日,改造所,配置区,改造前車番,,,改造年月日,改造後車番,
クモハ100,,,,,,,,,,,
国,○,モハ101-18,1959.06.01,（改番）,三鷹,モハ90045,1959.11.09,武蔵小金井,1983.09.16,,
,,,,,,,1961.10.21,淀川,,,
国,○,モハ101-19,1959.06.01,（改番）,三鷹,モハ90047,1959.11.09,武蔵小金井,1983.08.11,,
,,,,,,,1961.10.27,淀川,,,
国,○,モハ101-20,1959.06.01,（改番）,三鷹,モハ90049,1959.11.09,武蔵小金井,1983.01.13,,
,,,,,,,1961.10.27,淀川,,,
,,,,,,,1973.08.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-21,1959.06.01,（改番）,三鷹,モハ90051,1959.11.09,武蔵小金井,1982.10.19,,
,,,,,,,1961.10.27,淀川,,,
,,,,,,,1973.08.23,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-22,1959.06.01,（改番）,三鷹,モハ90053,1959.11.09,武蔵小金井,1983.04.27,,
,,,,,,,1961.10.28,森ノ宮,,,
,,,,,,,1977.01.18,淀川,,,
国,○,モハ101-23,1959.06.01,（改番）,三鷹,モハ90055,1959.11.09,武蔵小金井,1980.09.04,クル144-2,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-24,1959.06.01,（改番）,三鷹,モハ90057,1959.11.09,武蔵小金井,1980.08.22,クル144-1,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-25,1959.06.01,（改番）,三鷹,モハ90059,1959.11.09,武蔵小金井,1982.03.16,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.10.30,武蔵小金井,,,
国,○,モハ101-26,1959.06.01,（改番）,三鷹,モハ90061,1959.11.09,武蔵小金井,1979.05.18,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.10.22,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-27,1959.06.01,（改番）,三鷹,モハ90063,1960.10.03,淀川,1982.11.12,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.07.05,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-28,1959.06.01,（改番）,三鷹,モハ90065,1960.10.03,淀川,1983.03.24,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.07.19,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-29,1959.06.01,（改番）,三鷹,モハ90067,1960.10.03,淀川,1982.11.15,,
,,,,,,,1961.04.01,森ノ宮,,,
,,,,,,,1973.08.01,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-30,1959.06.01,（改番）,三鷹,モハ90069,1961.10.30,武蔵小金井,1980.03.25,クル144-9,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1971.03.26,浦和,,,
,,,,,,,1976.03.13,武蔵小金井,,,
国,○,モハ101-31,1959.06.01,（改番）,三鷹,モハ90071,1961.12.25,武蔵小金井,1981.11.27,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1980.05.17,武蔵小金井,,,
国,○,モハ101-32,1959.06.01,（改番）,三鷹,モハ90073,1961.12.24,武蔵小金井,1979.04.14,,
国,○,モハ101-33,1959.06.01,（改番）,三鷹,モハ90075,1966.12.12,豊田,1979.04.14,,
国,○,モハ101-34,1959.06.01,（改番）,三鷹,モハ90077,1960.11.11,中野,1973.01.16,モハ101-1002,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-35,1959.06.01,（改番）,三鷹,モハ90079,1966.12.12,豊田,1981.11.27,,
,,,,,,,1979.05.17,武蔵小金井,,,
国,○,モハ101-36,1959.06.01,（改番）,三鷹,モハ90081,1960.11.19,中野,1983.04.27,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1973.09.18,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-37,1959.06.01,（改番）,三鷹,モハ90083,1960.11.18,中野,1980.07.16,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1979.04.19,武蔵小金井,,,
国,○,モハ101-38,1959.06.01,（改番）,三鷹,モハ90085,1960.11.16,中野,1982.05.25,,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1972.12.12,武蔵小金井,,,
国,○,モハ101-39,1959.06.01,（改番）,三鷹,モハ90087,1966.12.12,豊田,1977.04.28,モハ101-1012,
国,○,モハ101-40,1959.06.01,（改番）,三鷹,モハ90089,1960.11.16,中野,1979.02.28,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-41,1959.06.01,（改番）,三鷹,モハ90091,1960.11.18,中野,1973.02.03,モハ101-1003,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-42,1959.06.01,（改番）,三鷹,モハ90093,1966.12.12,武蔵小金井,1975.07.08,,
国,○,モハ101-43,1959.06.01,（改番）,三鷹,モハ90095,1960.11.10,中野,1972.11.04,モハ101-1004,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-44,1959.06.01,（改番）,三鷹,モハ90097,1960.10.24,中野,1983.06.24,,
,,,,,,,1966.04.28,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1973.09.18,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-45,1959.06.01,（改番）,三鷹,モハ90099,1966.12.12,豊田,1982.07.22,,
,,,,,,,1979.03.12,武蔵小金井,,,
国,○,モハ101-46,1959.06.01,（改番）,三鷹,モハ90101,1966.12.12,豊田,1980.03.26,クル144-10,
国,○,モハ101-47,1959.06.01,（改番）,三鷹,モハ90103,1978.06.24,中原,1981.11.24,,
国,○,モハ101-48,1959.06.01,（改番）,三鷹,モハ90105,1972.10.02,武蔵小金井,1980.09.24,,
国,○,モハ101-49,1959.06.01,（改番）,三鷹,モハ90107,1978.06.10,中原,1982.01.26,,
,,,,,,,1980.09.01,武蔵小金井,,,
国,○,モハ101-50,1959.06.01,（改番）,三鷹,モハ90109,1966.12.12,豊田,1977.02.03,モハ101-1013,
国,○,モハ101-51,1959.06.01,（改番）,三鷹,モハ90111,1961.11.20,武蔵小金井,1980.12.18,クモヤ145-7,
国,○,モハ101-52,1959.06.01,（改番）,三鷹,モハ90113,1978.01.12,中原,1984.08.30,,
,,,,,,,1982.09.20,日根野,,,
国,○,モハ101-53,1959.09.25,日本車両,三鷹,,1966.12.12,豊田,1981.12.24,,
国,○,モハ101-54,1959.09.25,日本車両,三鷹,,1966.12.12,武蔵小金井,1983.03.12,,
国,○,モハ101-55,1959.10.20,日本車両,三鷹,,1966.12.12,武蔵小金井,1985.02.28,,
国,○,モハ101-56,1959.10.20,日本車両,三鷹,,1966.12.12,豊田,1972.12.12,モハ101-1005,
国,○,モハ101-57,1959.09.29,汽車会社,三鷹,,1966.12.12,武蔵小金井,1986.06.24,,
国,○,モハ101-58,1959.09.29,汽車会社,三鷹,,1969.04.08,豊田,1982.01.23,,
国,○,モハ101-59,1959.10.27,汽車会社,三鷹,,1961.12.28,武蔵小金井,1985.03.22,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1972.12.14,武蔵小金井,,,
国,○,モハ101-60,1959.10.27,汽車会社,三鷹,,,,1972.11.27,モハ101-1006,
国,○,モハ101-61,1960.02.12,汽車会社,三鷹,,1966.12.12,武蔵小金井,1982.11.29,,
国,○,モハ101-62,1959.09.14,近畿車両,三鷹,,1970.11.27,浦和,1979.02.28,,
,,,,,,,1975.12.24,中原,,,
国,○,モハ101-63,1959.09.14,近畿車両,三鷹,,1966.12.12,豊田,1980.08.14,,
,,,,,,,1973.05.19,中原,,,
国,○,モハ101-64,1959.10.05,近畿車両,三鷹,,1970.11.20,浦和,1980.06.02,,
,,,,,,,1977.04.09,豊田,,,
,,,,,,,1978.01.25,中原,,,
国,○,モハ101-65,1959.10.05,近畿車両,三鷹,,1966.12.12,豊田,1983.10.12,,
,,,,,,,1981.11.06,武蔵小金井,,,
国,○,モハ101-66,1959.10.05,川崎車両,三鷹,,1978.05.17,中原,1985.03.16,,
,,,,,,,1982.08.14,日根野,,,
国,○,モハ101-67,1959.10.05,川崎車両,三鷹,,1966.12.12,豊田,1973.02.12,モハ101-1007,
国,○,モハ101-68,1959.10.12,川崎車両,三鷹,,1959.11.09,武蔵小金井,1982.11.18,,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1961.11.21,武蔵小金井,,,
,,,,,,,1966.12.12,豊田,,,
,,,,,,,1976.09.20,中野,,,
国,○,モハ101-69,1959.10.27,川崎車両,三鷹,,1959.11.09,武蔵小金井,1973.02.01,モハ101-1008,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,モハ101-70,1960.02.27,日本車両,三鷹,,1978.03.10,中原,1983.08.08,,
国,○,モハ101-71,1960.02.27,日本車両,三鷹,,1977.12.16,中原,1981.12.15,,
国,○,モハ101-72,1960.02.27,日本車両,三鷹,,1966.12.12,豊田,1982.01.26,,
国,○,モハ101-73,1960.02.27,日本車両,三鷹,,1969.04.08,豊田,1983.02.21,,
,,,,,,,1981.09.01,武蔵小金井,,,
国,○,モハ101-74,1960.02.27,汽車会社,三鷹,,1966.12.12,豊田,1983.12.21,,
,,,,,,,1980.05.08,武蔵小金井,,,
国,○,モハ101-75,1960.02.24,川崎車両,三鷹,,1966.12.12,豊田,1972.11.16,モハ101-1009,
国,○,モハ101-76,1960.05.27,汽車会社,武蔵小金井,,,,1984.06.20,,
国,○,モハ101-77,1960.05.27,汽車会社,武蔵小金井,,1966.12.12,豊田,1973.03.17,モハ101-1010,
国,○,モハ101-78,1960.06.22,汽車会社,武蔵小金井,,1966.12.12,豊田,1983.09.16,,
,,,,,,,1972.08.15,中野,,,
,,,,,,,1979.09.06,武蔵小金井,,,
国,○,モハ101-79,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1984.05.25,,
,,,,,,,1976.07.18,淀川,,,
国,○,モハ101-80,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1984.02.07,,
,,,,,,,1977.03.15,淀川,,,
国,○,モハ101-81,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.05,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-82,1961.02.26,川崎車両,淀川,,1961.04.01,森ノ宮,1984.06.22,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-83,1961.03.15,川崎車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-84,1961.03.06,汽車会社,淀川,,1961.04.01,森ノ宮,1982.10.19,,
,,,,,,,1973.09.12,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-85,1961.03.23,汽車会社,淀川,,1961.04.01,森ノ宮,1985.02.16,,
,,,,,,,1973.09.10,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-86,1961.03.10,近畿車両,淀川,,1961.04.01,森ノ宮,1980.05.30,,
,,,,,,,1976.10.24,淀川,,,
国,○,モハ101-87,1961.03.20,近畿車両,淀川,,1961.04.01,森ノ宮,1983.02.21,,
,,,,,,,1973.09.14,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,モハ101-88,1961.07.15,日本車両,武蔵小金井,,,,1983.03.11,,
国,○,モハ101-89,1961.08.03,日本車両,武蔵小金井,,1972.09.13,中原,1981.10.16,,
国,○,モハ101-90,1961.08.12,日本車両,武蔵小金井,,1966.12.12,中原,1985.02.28,,
,,,,,,,1981.09.01,武蔵小金井,,,
国,○,モハ101-91,1961.10.12,日本車両,池袋,,1965.04.24,津田沼,1982.07.20,,
国,○,モハ101-92,1961.10.24,日本車両,池袋,,1964.09.28,武蔵小金井,1977.04.21,モハ101-1014,
国,○,モハ101-93,1961.09.29,川崎車両,武蔵小金井,,,,1973.01.11,モハ101-1011,
国,○,モハ101-94,1961.10.06,汽車会社,池袋,,1965.09.16,中野,1982.02.10,,
国,○,モハ101-95,1961.10.06,汽車会社,池袋,,1966.07.31,津田沼,1982.02.17,,
,,,,,,,1972.09.19,中原,,,
国,○,モハ101-96,1961.07.20,近畿車両,森ノ宮,,1962.03.04,淀川,1984.01.19,,
,,,,,,,1963.12.04,森ノ宮,,,
,,,,,,,1976.07.18,淀川,,,
国,○,モハ101-97,1961.08.08,近畿車両,淀川,,1982.12.25,日根野,1985.01.11,,
国,○,モハ101-98,1961.10.17,近畿車両,淀川,,,,1983.02.24,,
国,○,モハ101-99,1961.10.24,近畿車両,淀川,,,,1983.08.01,,
国,○,モハ101-100,1961.11.18,川崎車両,池袋,,1964.12.03,中野,1985.06.17,,
国,○,モハ101-101,1961.11.18,川崎車両,池袋,,1964.07.28,津田沼,1983.03.29,,
国,○,モハ101-102,1961.11.18,川崎車両,池袋,,1965.06.05,津田沼,1982.02.17,,
,,,,,,,1970.12.01,浦和,,,
,,,,,,,1978.06.17,中原,,,
国,○,モハ101-103,1961.11.18,川崎車両,池袋,,1964.08.04,津田沼,1983.03.09,,
,,,,,,,1966.04.28,中野,,,
国,○,モハ101-104,1961.12.09,川崎車両,池袋,,1964.06.14,中野,1983.07.12,,
国,○,モハ101-105,1961.12.09,川崎車両,池袋,,1967.10.01,武蔵小金井,1982.02.05,,
国,○,モハ101-106,1961.12.15,川崎車両,池袋,,1964.05.17,中野,1977.03.02,モハ101-1015,
国,○,モハ101-107,1961.12.15,川崎車両,三鷹,,1966.12.12,豊田,1984.02.23,,
国,○,モハ101-108,1961.12.22,川崎車両,三鷹,,1966.12.12,武蔵小金井,1986.12.03,,
国,○,モハ101-109,1961.12.22,川崎車両,三鷹,,1966.12.12,武蔵小金井,1985.01.19,,
国,○,モハ101-110,1962.03.10,日本車両,武蔵小金井,,1966.12.12,豊田,1984.03.30,,
,,,,,,,1981.10.21,武蔵小金井,,,
国,○,モハ101-111,1962.03.10,日本車両,池袋,,1965.09.04,中野,1983.11.07,,
国,○,モハ101-112,1962.03.10,日本車両,池袋,,1969.04.01,中野,1987.01.24,,
,,,,,,,1985.02.28,中原,,,
国,○,モハ101-113,1962.03.24,日本車両,池袋,,1978.03.17,中原,1982.03.06,,
,,,,,,,1980.12.10,中野,,,
国,○,モハ101-114,1962.03.07,近畿車両,武蔵小金井,,1982.03.10,中原,1985.03.22,,
国,○,モハ101-115,1962.03.08,近畿車両,池袋,,1965.09.29,中野,1984.03.23,,
国,○,モハ101-116,1962.03.17,近畿車両,池袋,,1964.09.28,中野,1983.09.21,クモヤ145-119,
,,,,,,,1972.09.13,中原,,,
,,,,,,,1981.08.11,武蔵小金井,,,
国,○,モハ101-117,1962.03.31,近畿車両,池袋,,1978.02.09,中原,1982.07.27,,
国,○,モハ101-118,1962.04.10,日本車両,池袋,,1969.03.15,津田沼,1986.06.30,,
国,○,モハ101-119,1962.04.28,日本車両,池袋,,1965.05.08,津田沼,1984.03.08,,
,,,,,,,1982.05.12,武蔵小金井,,,
国,○,モハ101-120,1962.04.28,日本車両,池袋,,1965.05.13,津田沼,1983.03.09,,
,,,,,,,1972.10.01,中原,,,
国,○,モハ101-121,1962.05.08,日本車両,池袋,,1964.11.19,中野,1984.08.30,,
,,,,,,,1982.09.01,日根野,,,
国,○,モハ101-122,1962.05.08,日本車両,池袋,,1968.09.28,津田沼,1982.03.31,クル144-14,
国,○,モハ101-123,1962.07.25,日本車両,池袋,,1978.01.26,中原,1985.02.28,,
,,,,,,,1978.10.17,中野,,,
国,○,モハ101-124,1962.07.25,日本車両,池袋,,1969.03.23,津田沼,1982.03.16,,
国,○,モハ101-125,1962.07.31,日本車両,池袋,,1965.04.19,津田沼,1982.09.22,,
,,,,,,,1972.10.01,中原,,,
国,○,モハ101-126,1962.07.31,日本車両,池袋,,1964.10.01,津田沼,1962.02.12,,
国,○,モハ101-127,1962.08.16,日本車両,池袋,,1965.06.30,中野,1984.02.22,,
国,○,モハ101-128,1962.08.16,日本車両,池袋,,1965.09.23,中野,1984.09.10,,
,,,,,,,1982.10.01,日根野,,,
国,○,モハ101-129,1962.08.25,日本車両,池袋,,1964.05.17,中野,1984.09.10,,
,,,,,,,1982.09.17,日根野,,,
国,○,モハ101-130,1962.08.25,日本車両,池袋,,1964.11.19,中野,1983.02.09,,
国,○,モハ101-131,1962.08.25,日本車両,池袋,,1964.06.18,津田沼,1983.06.24,クモユニ147-4,
,,,,,,,1966.04.28,中野,,,
国,○,モハ101-132,1962.09.07,日本車両,池袋,,1965.05.08,津田沼,1982.02.12,,
国,○,モハ101-133,1962.09.07,日本車両,池袋,,1965.09.16,中野,1984.12.15,,
国,○,モハ101-134,1962.09.07,日本車両,池袋,,1978.02.09,中原,1986.12.03,,
国,○,モハ101-135,1962.09.19,日本車両,池袋,,1965.05.18,津田沼,1983.02.07,,
,,,,,,,1972.10.01,中原,,,
国,○,モハ101-136,1962.09.19,日本車両,池袋,,1964.06.14,中野,1982.12.10,,
国,東,モハ101-137,1962.09.19,日本車両,池袋,,1966.08.16,津田沼,1990.02.06,,
,,,,,,,1972.09.12,中原,,,
国,○,モハ101-138,1962.09.27,日本車両,池袋,,1964.05.17,中野,1983.01.25,,
国,○,モハ101-139,1962.09.27,日本車両,池袋,,1964.09.17,津田沼,1982.01.14,,
国,○,モハ101-140,1962.09.27,日本車両,池袋,,1969.03.23,津田沼,1985.08.15,,
国,○,モハ101-141,1962.08.31,近畿車両,池袋,,1965.09.26,中野,1983.03.29,クモユニ147-1,
国,○,モハ101-142,1962.08.31,近畿車両,池袋,,1964.10.01,津田沼,1982.04.19,,
国,○,モハ101-143,1962.09.18,近畿車両,池袋,,1964.09.28,中野,1985.01.10,,
国,○,モハ101-144,1962.09.18,近畿車両,池袋,,1965.04.19,津田沼,1983.03.18,,
,,,,,,,1966.04.28,中野,,,
国,○,モハ101-145,1962.09.18,近畿車両,池袋,,1965.09.26,中野,1985.03.22,,
国,○,モハ101-146,1962.10.12,日本車両,三鷹,,1969.04.08,中野,1985.01.10,,
国,○,モハ101-147,1962.10.12,日本車両,三鷹,,1969.04.08,豊田,1981.09.30,,
,,,,,,,1972.07.14,武蔵小金井,,,
国,○,モハ101-148,1962.10.12,日本車両,三鷹,,1966.12.12,豊田,1982.04.30,クモヤ145-104,
国,○,モハ101-149,1962.10.19,日本車両,三鷹,,1966.12.12,豊田,1983.06.29,クモユニ147-3,
,,,,,,,1973.01.29,三鷹,,,
,,,,,,,1978.09.01,豊田,,,
,,,,,,,1981.12.18,武蔵小金井,,,
国,○,モハ101-150,1962.10.19,日本車両,三鷹,,1978.04.19,中原,1982.06.28,,
国,○,モハ101-151,1962.10.19,日本車両,三鷹,,1966.12.12,豊田,1985.02.19,,
,,,,,,,1980.05.08,武蔵小金井,,,
国,○,モハ101-152,1962.10.25,日本車両,武蔵小金井,,1982.08.09,日根野,1983.08.23,,
国,○,モハ101-153,1962.10.25,日本車両,三鷹,,1963.10.01,武蔵小金井,1983.11.17,,
国,○,モハ101-154,1962.12.14,日本車両,品川,,1964.09.02,津田沼,1983.02.08,,
国,○,モハ101-155,1962.10.12,汽車会社,池袋,,1964.12.03,中野,1984.09.10,,
,,,,,,,1982.09.17,日根野,,,
国,○,モハ101-156,1962.10.12,汽車会社,池袋,,1964.08.04,津田沼,1983.01.31,クモヤ145-112,
国,○,モハ101-157,1962.10.12,汽車会社,池袋,,1965.09.23,中野,1982.11.27,,
国,○,モハ101-158,1962.10.25,汽車会社,池袋,,1968.09.28,津田沼,1986.06.10,,
,,,,,,,1971.03.22,浦和,,,
,,,,,,,1975.12.13,中原,,,
国,○,モハ101-159,1962.10.25,汽車会社,池袋,,1965.09.29,中野,1984.12.15,,
国,○,モハ101-160,1962.10.25,汽車会社,武蔵小金井,,1982.08.23,日根野,1983.08.23,,
国,○,モハ101-161,1962.10.25,汽車会社,武蔵小金井,,,,1983.02.01,,
国,○,モハ101-162,1962.11.16,汽車会社,品川,,1967.10.31,津田沼,1982.01.14,,
国,○,モハ101-163,1962.11.16,汽車会社,品川,,1967.11.08,津田沼,1982.04.19,,
国,○,モハ101-164,1962.11.29,汽車会社,品川,,1967.11.08,津田沼,1982.03.31,クモヤ145-102,
国,○,モハ101-165,1962.11.29,汽車会社,品川,,1967.12.21,津田沼,1983.02.18,,
,,,,,,,1979.04.21,中原,,,
国,○,モハ101-166,1962.11.29,汽車会社,品川,,1967.03.29,池袋,1982.12.22,,
,,,,,,,1978.02.02,中原,,,
国,○,モハ101-167,1962.10.13,川崎車両,池袋,,1964.06.18,津田沼,1982.03.01,,
国,○,モハ101-168,1962.10.13,川崎車両,池袋,,1964.09.17,津田沼,1982.03.04,,
国,東,モハ101-169,1962.10.21,川崎車両,池袋,,1978.02.02,中原,1990.05.07,,
国,○,モハ101-170,1962.10.21,川崎車両,池袋,,1965.05.13,津田沼,1983.02.07,,
,,,,,,,1982.07.04,中原,,,
国,○,モハ101-171,1962.10.21,川崎車両,池袋,,1965.05.18,津田沼,1981.12.11,,
国,○,モハ101-172,1967.10.31,川崎車両,池袋,,1965.06.05,津田沼,1983.02.09,,
,,,,,,,1966.04.28,中野,,,
国,○,モハ101-173,1962.10.31,川崎車両,池袋,,1964.07.28,津田沼,1982.03.16,,
国,○,モハ101-174,1962.10.31,川崎車両,池袋,,1967.11.17,津田沼,1982.03.01,,
国,東,モハ101-175,1962.11.08,川崎車両,池袋,,1967.10.31,津田沼,1990.05.07,,
,,,,,,,1982.07.04,中原,,,
国,○,モハ101-176,1962.11.08,川崎車両,品川,,1967.12.27,津田沼,1983.02.28,,
,,,,,,,1981.12.12,中原,,,
国,○,モハ101-177,1962.11.16,川崎車両,品川,,1969.03.15,津田沼,1982.02.26,,
,,,,,,,1979.03.30,中野,,,
国,○,モハ101-178,1962.11.16,川崎車両,品川,,1969.03.30,津田沼,1982.12.25,,
,,,,,,,1982.09.02,中野,,,
国,○,モハ101-179,1962.11.28,川崎車両,品川,,1967.11.26,津田沼,1985.06.17,,
国,○,モハ101-180,1962.11.28,川崎車両,品川,,1969.03.15,津田沼,1982.11.18,,
,,,,,,,1982.07.13,日根野,,,
国,○,モハ101-181,1962.12.07,川崎車両,品川,,1967.12.27,津田沼,1983.03.02,,
,,,,,,,1979.04.06,中野,,,
国,○,モハ101-182,1962.12.07,川崎車両,品川,,1967.11.17,津田沼,1983.12.05,,
,,,,,,,1979.12.18,中原,,,
国,○,モハ101-183,1962.12.07,川崎車両,品川,,1969.03.05,津田沼,1983.03.28,,
,,,,,,,1979.05.11,中原,,,
国,○,モハ101-184,1962.10.22,近畿車両,池袋,,1964.11.09,津田沼,1983.06.15,,
,,,,,,,1966.04.28,中野,,,
国,○,モハ101-185,1962.10.22,近畿車両,池袋,,1978.01.26,中原,1984.12.25,,
,,,,,,,1982.09.23,日根野,,,
国,東,モハ101-186,1962.10.22,近畿車両,池袋,,1978.02.16,中原,1989.02.16,,
国,○,モハ101-187,1962.10.22,近畿車両,池袋,,1965.04.24,津田沼,1982.12.25,,
国,○,モハ101-188,1962.10.30,近畿車両,池袋,,1964.09.28,武蔵小金井,1982.06.14,,
国,○,モハ101-189,1962.10.30,近畿車両,池袋,,1965.09.04,中野,1983.09.16,,
国,○,モハ101-190,1962.10.29,近畿車両,品川,,1969.04.02,津田沼,1982.03.04,,
国,○,モハ101-191,1962.12.17,近畿車両,品川,,1969.04.02,津田沼,1982.12.25,,
国,○,モハ101-192,1963.01.11,近畿車両,品川,,1969.03.26,津田沼,1985.02.28,,
,,,,,,,1979.02.21,中野,,,
国,東,モハ101-193,1963.01.11,近畿車両,品川,,1969.03.26,津田沼,1990.02.06,,
,,,,,,,1986.09.01,習志野,,,
国,○,モハ101-194,1963.02.22,日本車両,下十条,,1963.10.01,品川,1983.04.27,,
,,,,,,,1967.12.19,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,モハ101-195,1963.04.05,日本車両,下十条,,1963.10.01,品川,1981.04.27,クモヤ145-6,
,,,,,,,1967.11.26,津田沼,,,
国,○,モハ101-196,1963.04.05,日本車両,下十条,,1963.10.01,品川,1985.02.26,,
,,,,,,,1967.12.19,森ノ宮,,,
,,,,,,,1977.03.16,淀川,,,
国,○,モハ101-197,1963.06.22,日本車両,下十条,,1963.10.01,品川,1986.03.31,クモヤ145-125,
,,,,,,,1967.04.02,池袋,,,
,,,,,,,1978.02.16,中原,,,
国,東,モハ101-198,1963.01.11,汽車会社,品川,,1967.12.21,津田沼,1988.06.16,,
,,,,,,,1986.09.01,習志野,,,
国,○,モハ101-199,1963.01.11,汽車会社,品川,,1967.04.22,池袋,1985.02.28,,
,,,,,,,1967.12.03,品川,,,
,,,,,,,1969.04.04,津田沼,,,
国,○,モハ101-200,1963.01.11,汽車会社,品川,,1964.10.10,津田沼,1983.01.25,,
,,,,,,,1982.01.19,中野,,,
国,○,モハ101-201,1963.01.29,汽車会社,品川,,1967.12.19,森ノ宮,1984.06.01,,
,,,,,,,1976.07.21,淀川,,,
国,○,モハ101-202,1963.01.29,汽車会社,品川,,1967.04.02,池袋,1980.03.21,,
,,,,,,,1969.03.16,津田沼,,,
国,東,モハ101-203,1963.01.29,汽車会社,品川,,1967.04.22,池袋,1991.09.10,,
,,,,,,,1978.03.17,中原,,,
国,○,モハ101-204,1963.01.29,汽車会社,品川,,1967.03.29,池袋,1982.09.06,,
,,,,,,,1969.03.06,津田沼,,,
,,,,,,,1975.07.26,武蔵小金井,,,
国,○,モハ101-205,1963.02.13,汽車会社,下十条,,1963.10.01,品川,1982.12.22,,
,,,,,,,1969.03.05,津田沼,,,
,,,,,,,1972.09.23,中原,,,
国,西,モハ101-206,1963.02.13,汽車会社,下十条,,1963.10.01,品川,1992.02.29,,
,,,,,,,1969.03.21,津田沼,,,
,,,,,,,1986.05.24,淀川,,,
,,,,,,,1989.06.19,森ノ宮,,,
国,○,モハ101-207,1963.06.20,汽車会社,下十条,,1963.10.01,品川,1983.01.21,,
,,,,,,,1967.03.25,池袋,,,
,,,,,,,1969.04.01,中原,,,
国,東,モハ101-208,1963.06.20,汽車会社,下十条,,1963.10.01,品川,1989.07.25,,
,,,,,,,1964.11.01,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,東,モハ101-209,1963.02.08,川崎車両,品川,,1969.03.30,津田沼,1990.05.08,,
,,,,,,,1986.09.01,習志野,,,
国,○,モハ101-210,1963.02.08,川崎車両,品川,,1969.04.04,津田沼,1983.02.25,,
国,○,モハ101-211,1963.02.08,川崎車両,品川,,1967.03.25,池袋,1983.12.15,,
,,,,,,,1967.12.03,品川,,,
,,,,,,,1969.03.21,津田沼,,,
,,,,,,,1972.09.12,中野,,,
国,東,モハ101-212,1963.06.21,川崎車両,下十条,,1963.10.01,品川,1989.02.08,,
,,,,,,,1964.11.08,津田沼,,,
,,,,,,,1986.09.01,習志野,,,
国,○,モハ101-213,1963.06.21,川崎車両,下十条,,1963.10.01,品川,1984.12.25,,
,,,,,,,1964.11.03,津田沼,,,
,,,,,,,1982.09.23,日根野,,,
国,○,モハ101-214,1963.02.19,近畿車両,下十条,,1963.10.08,品川,1984.01.12,クモヤ145-114,
,,,,,,,1964.11.08,津田沼,,,
,,,,,,,1982.01.19,中野,,,
