,,クモハ100,,クモハ101,,モハ100,,モハ101,,,
,,クハ100,,クハ101,,サハ100,,サハ101,,,
所属,,車番,新製年月日,製造所,配置区,,転属年月日,新区,廃車年月日,,
,,,改造年月日,改造所,配置区,改造前車番,,,改造年月日,改造後車番,
クモハ100,,,,,,,,,,,
,,,,,,,1980.09.01,武蔵小金井,,,
国,○,クモハ100-47,1959.06.01,（改番）,三鷹,モハ90604,1978.01.12,中原,1984.08.30,,
,,,,,,,1982.09.30,日根野,,,
国,○,クモハ100-48,1959.06.01,（改番）,三鷹,モハ90606,1966.12.12,豊田,1979.04.14,,
国,○,クモハ100-49,1959.06.01,（改番）,三鷹,モハ90608,1969.04.08,豊田,1981.09.30,,
,,,,,,,1972.07.14,武蔵小金井,,,
国,○,クモハ100-50,1959.06.01,（改番）,三鷹,モハ90610,1962.11.09,池袋,1983.03.18,,
,,,,,,,1965.04.19,津田沼,,,
,,,,,,,1966.04.28,中野,,,
国,○,クモハ100-51,1959.06.01,（改番）,三鷹,モハ90612,1966.12.12,豊田,1980.08.14,,
,,,,,,,1973.05.19,中原,,,
国,○,クモハ100-52,1959.06.01,（改番）,三鷹,モハ90614,1966.12.12,豊田,1981.12.24,,
国,○,クモハ100-53,1959.06.01,（改番）,三鷹,モハ90616,1966.12.12,豊田,1977.02.03,クモハ100-1013,
国,○,クモハ100-54,1959.06.01,（改番）,三鷹,モハ90618,1962.11.14,池袋,1982.12.10,,
,,,,,,,1964.06.18,津田沼,,,
,,,,,,,1966.04.28,中野,,,
国,○,クモハ100-55,1959.09.25,日本車両,三鷹,,1961.12.15,池袋,1983.07.12,,
,,,,,,,1964.06.14,中野,,,
国,○,クモハ100-56,1959.10.10,日本車両,三鷹,,1961.12.14,池袋,1977.03.02,クモハ100-1014,
,,,,,,,1964.05.17,中野,,,
国,○,クモハ100-57,1959.10.10,日本車両,三鷹,,1966.12.12,豊田,1982.01.26,,
国,○,クモハ100-58,1959.10.10,日本車両,三鷹,,1966.12.12,豊田,1972.12.12,クモハ100-1004,
国,○,クモハ100-59,1960.01.23,日本車両,三鷹,,1978.06.24,中原,1981.11.24,,
国,○,クモハ100-60,1960.01.23,日本車両,三鷹,,1966.12.12,武蔵小金井,1984.07.08,,
国,○,クモハ100-61,1960.02.05,日本車両,三鷹,,1966.12.12,武蔵小金井,1982.11.29,,
国,○,クモハ100-62,1960.02.05,日本車両,三鷹,,1966.12.12,豊田,1983.12.21,,
,,,,,,,1980.05.08,武蔵小金井,,,
国,○,クモハ100-63,1960.02.27,日本車両,三鷹,,1978.03.09,中原,1983.08.08,,
国,○,クモハ100-64,1959.09.29,汽車会社,三鷹,,1969.04.08,豊田,1982.01.23,,
国,○,クモハ100-65,1959.10.27,汽車会社,三鷹,,,,1972.11.27,クモハ100-1005,
国,○,クモハ100-66,1960.02.12,汽車会社,三鷹,,1978.05.17,中原,1985.03.16,,
,,,,,,,1982.08.14,日根野,,,
国,○,クモハ100-67,1959.09.14,近畿車両,三鷹,,1970.11.27,浦和,1979.02.28,,
,,,,,,,1975.12.24,中原,,,
国,○,クモハ100-68,1959.10.05,近畿車両,三鷹,,1970.11.20,浦和,1980.06.02,,
,,,,,,,1977.04.09,豊田,,,
,,,,,,,1978.01.25,中原,,,
国,○,クモハ100-69,1959.10.05,川崎車両,三鷹,,1966.12.12,豊田,1973.02.12,クモハ100-1006,
国,○,クモハ100-70,1959.11.01,川崎車両,三鷹,,1959.11.09,武蔵小金井,1973.02.01,クモハ100-1007,
,,,,,,,1960.11.20,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-71,1959.11.12,川崎車両,三鷹,,1960.11.19,中野,1973.02.03,クモハ100-1008,
,,,,,,,1966.04.28,三鷹,,,
,,,,,,,1966.12.12,豊田,,,
国,○,クモハ100-72,1959.11.12,川崎車両,三鷹,,1966.12.12,豊田,1982.07.22,,
,,,,,,,1979.03.12,武蔵小金井,,,
国,○,クモハ100-73,1959.12.14,川崎車両,三鷹,,1966.12.12,豊田,1981.12.14,クモル145-16,
,,,,,,,1979.05.17,武蔵小金井,,,
国,○,クモハ100-74,1959.12.14,川崎車両,三鷹,,1962.11.09,池袋,1984.12.15,,
,,,,,,,1969.04.04,中野,,,
国,○,クモハ100-75,1960.02.24,川崎車両,三鷹,,1966.12.12,豊田,1972.11.16,クモハ100-1009,
国,○,クモハ100-76,1960.02.27,日本車両,三鷹,,1969.04.08,豊田,1983.02.21,,
,,,,,,,1981.09.01,武蔵小金井,,,
国,○,クモハ100-77,1960.03.18,川崎車両,三鷹,,1977.12.16,中原,1981.12.15,,
国,○,クモハ100-78,1960.03.18,川崎車両,三鷹,,1960.07.06,武蔵小金井,1984.06.20,,
国,○,クモハ100-79,1960.05.27,汽車会社,武蔵小金井,,1966.12.12,豊田,1983.09.16,,
,,,,,,,1972.08.15,中原,,,
,,,,,,,1979.09.06,武蔵小金井,,,
国,○,クモハ100-80,1960.05.27,汽車会社,武蔵小金井,,1966.12.12,豊田,1973.03.17,クモハ100-1010,
国,○,クモハ100-81,1960.06.22,汽車会社,武蔵小金井,,,,1983.02.01,,
国,○,クモハ100-82,1960.03.30,日本車両,三鷹,,1966.12.12,豊田,1982.04.30,クモヤ145-106,
国,○,クモハ100-83,1961.01.30,日本車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.05,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-84,1961.01.30,日本車両,淀川,,1961.04.01,森ノ宮,1984.02.07,,
,,,,,,,1977.03.15,淀川,,,
国,○,クモハ100-85,1961.02.28,日本車両,淀川,,1961.04.01,森ノ宮,1984.05.25,,
,,,,,,,1976.07.10,淀川,,,
国,○,クモハ100-86,1961.02.26,川崎車両,淀川,,1961.04.01,森ノ宮,1984.06.22,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-87,1961.03.15,川崎車両,淀川,,1961.04.01,森ノ宮,1982.12.14,,
,,,,,,,1973.09.20,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-88,1961.03.06,汽車会社,淀川,,1961.04.01,森ノ宮,1982.10.19,,
,,,,,,,1973.09.12,鳳,,,
,,,,,,,1978.10.01,日根野,,,
国,○,クモハ100-89,1961.03.23,汽車会社,淀川,,1961.04.01,森ノ宮,1985.02.16,,
